echoid,name,set_code,note,echo_rows,total_notes
125828,Claim the Firstborn,sta,b2r4p416,1,2
125842,Cultivate,sta,b2r4p425,2,3
126302,Cultivate (JP Alternate Art),STA,b2blup21,1,2
125829,Faithless Looting,sta,b2r4p418,1,2
126403,Revitalize (JP Alternate Art),STA,b2blup20,1,2
126406,Shock (JP Alternate Art),STA,b2blup19,1,2
125812,Tezzeret's Gambit,sta,b2r4p406,1,2
125814,Whirlwind Denial,sta,b2r4p408,1,2
