Title,Podcaster,Author,Ship,Link,Link
From The Start,The Dramione Archives,sweetestsorrows,Hermione Granger/Draco Malfoy,"<a href=""https://open.spotify.com/episode/1RGPIv6uvFS1fGv6XH2jM0?si=a156da1a3cea421f""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>","<a href=""https://open.spotify.com/episode/1RGPIv6uvFS1fGv6XH2jM0?si=a156da1a3cea421f""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
Fulfilling of the Secret Wish,ETL_Echo_Audiobooks,smirkingcat,Remus Lupin/Draco Malfoy,"<a href=""https://archiveofourown.org/works/52304092""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/52304092""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Garden War,JocundaSykes,Cibee,Draco Malfoy/Harry Potter,"<a href=""https://archiveofourown.org/works/31214915""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/31214915""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Gender Norms and Equality,Dramione Oneshots,,Hermione Granger/Draco Malfoy,"<a href=""https://open.spotify.com/episode/1zJ90t9ZatPmLzwI3x3SLi?si=31dc9508ff0940c0""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>","<a href=""https://open.spotify.com/episode/1zJ90t9ZatPmLzwI3x3SLi?si=31dc9508ff0940c0""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
Ghosts in a Wishing Well,The Dramione Archives,namelessamelie,Hermione Granger/Draco Malfoy,"<a href=""https://open.spotify.com/episode/29Z0yO3uFxjJlHzMbDoU6j?si=7290e98a4c1e4117""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>","<a href=""https://open.spotify.com/episode/29Z0yO3uFxjJlHzMbDoU6j?si=7290e98a4c1e4117""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
glimpses of your universe,UnholyCrowley,MiaBrown,Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/41111637""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/41111637""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Going to the Chapel,BurningAurora,R33sesPieces,Sirius Black/Remus Lupin,"<a href=""https://open.spotify.com/episode/297xaM97jEu4BKJ61P7v1d?si=5a62b8285e344eae""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>","<a href=""https://open.spotify.com/episode/297xaM97jEu4BKJ61P7v1d?si=5a62b8285e344eae""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
Good Luck Kisses,ETL_Echo_Audiobooks,Musyc,Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/41137809""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/41137809""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
GOODNIGHT FROM YOUR FUTURE HUSBAND,sweaters_in_the_summer,GallaPlacidia,Draco Malfoy/Harry Potter,"<a href=""https://archiveofourown.org/works/41967021""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/41967021""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Gryffindors Never Kiss and Tell,RattleandHum (ThirdEye1234),FeelsForBreakfast,Draco Malfoy/Harry Potter,"<a href=""https://archiveofourown.org/works/37660090""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/37660090""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Guardian Angel,Podfics by Juuls (Juulna),noxsoulmate,Hermione Granger & Harry Potter,"<a href=""https://archiveofourown.org/works/47151136""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/47151136""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Harry Potter and the Curse of the Malfoy Dildo,Aibidil,Aibidil,Draco Malfoy/Harry Potter,"<a href=""https://archiveofourown.org/works/18247466""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/18247466""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Haunted,EllaMcSmellBella,bentnotbroken1,Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/42032004""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/42032004""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
He Hated Her,SilverMiss Fanfiction,,Hermione Granger/Tom Riddle,"<a href=""https://open.spotify.com/episode/3lZvx7xGMkJnXLAWpbPNmj?si=2887878886024eb9""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>","<a href=""https://open.spotify.com/episode/3lZvx7xGMkJnXLAWpbPNmj?si=2887878886024eb9""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
Heal Thyself,lazulus,astolat,Draco Malfoy/Harry Potter,"<a href=""https://archiveofourown.org/works/38393641""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/38393641""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Height,EllaMcSmellBella,SenLinYu,Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/42370086""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/42370086""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Height,The Dramione Archives,SenLinYu,Hermione Granger/Draco Malfoy,"<a href=""https://open.spotify.com/episode/4s5SYXtylhCLT5rsW32Iz0?si=0eef33728d4340e4""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>","<a href=""https://open.spotify.com/episode/4s5SYXtylhCLT5rsW32Iz0?si=0eef33728d4340e4""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
Her Indomitable ,EllaMcSmellBella,Art3misiA,Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/41704170""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/41704170""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Her Lips Alone,UnholyCrowley,leydileyla,Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/40894800""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/40894800""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Here and Present,EllaMcSmellBella,Musyc,Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/43666617""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/43666617""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Here and Present,The Dramione Archives,Musyc,Hermione Granger/Draco Malfoy,"<a href=""https://open.spotify.com/episode/3UkOPjCjxI75NCw8QlQfAA?si=66d42032b32a470e""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>","<a href=""https://open.spotify.com/episode/3UkOPjCjxI75NCw8QlQfAA?si=66d42032b32a470e""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
Hide and Seek,micha_making_podfics,JulietsEmoPhase,Draco Malfoy/Harry Potter,"<a href=""https://open.spotify.com/episode/1pYlD40XrGQiIGmmZQxQj9?si=d65ad33a8dbc4323""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>","<a href=""https://open.spotify.com/episode/1pYlD40XrGQiIGmmZQxQj9?si=d65ad33a8dbc4323""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
Hints From Severus,JocundaSykes,"cruisedirector, Dementordelta",Harry Potter/Severus Snape,"<a href=""https://archiveofourown.org/works/44115576""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/44115576""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Hippogriff Biscuits and Gingerbread Houses,ETL_Echo_Audiobooks,ArielSakura,Draco Malfoy/Harry Potter,"<a href=""https://archiveofourown.org/works/43675803""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/43675803""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
holding my breath,ETL_Echo_Audiobooks,OneEqualTemper,Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/47473138""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/47473138""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
"Home Again, Home Again",JocundaSykes,pir8fancier,Draco Malfoy/Harry Potter,"<a href=""https://archiveofourown.org/works/39277755""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/39277755""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Honeymoon Preparations,inmyownlittle_podfic_corner,teh_kris_eh,Hermione Granger & Pansy Parkinson,"<a href=""https://archiveofourown.org/works/44808898""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/44808898""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
hope is a dangerous thing for a woman like me to have,Dramione Podfics,ellieauthor,Hermione Granger/Draco Malfoy,"<a href=""https://open.spotify.com/episode/02rKsTBhQMRhtwnuIrW0Sp?si=9d233f764ad44d31""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>","<a href=""https://open.spotify.com/episode/02rKsTBhQMRhtwnuIrW0Sp?si=9d233f764ad44d31""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
House Proud,lazulus,astolat,Draco Malfoy/Harry Potter,"<a href=""https://archiveofourown.org/works/7298308""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/7298308""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
House Unity,ETL_Echo_Audiobooks,tryslora,Neville Longbottom/Draco Malfoy,"<a href=""https://archiveofourown.org/works/52303816""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/52303816""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
How to Court Your Husband,peaceinpanem,magpie_fngrl,Draco Malfoy/Harry Potter,"<a href=""https://archiveofourown.org/works/50444392""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/50444392""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Hyderabadi Pearl,ETL_Echo_Audiobooks,LakeWitch,Draco Malfoy/Harry Potter,"<a href=""https://archiveofourown.org/works/51314344""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/51314344""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
i am not a mother,Dramione Podfics,,Hermione Granger/Draco Malfoy,"<a href=""https://open.spotify.com/episode/0vssaVsV7x4TUKfYaK3Mtw?si=2ccd58c451934ac2""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>","<a href=""https://open.spotify.com/episode/0vssaVsV7x4TUKfYaK3Mtw?si=2ccd58c451934ac2""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
I Can See You,peaceinpanem,peaceinpanem,"Sirius Black/Remus Lupin, Regulus Black/James Potter","<a href=""https://archiveofourown.org/works/48639523""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/48639523""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
I Could Never Hate You,Draco Malfoy Podfics,fallingforfictionalcharacterss,Hermione Granger/Draco Malfoy,"<a href=""https://open.spotify.com/episode/7paiwATBZnC7NCrZK6teag?si=HxRs6lZiR-mHxBYEKBS_wg""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>","<a href=""https://open.spotify.com/episode/7paiwATBZnC7NCrZK6teag?si=HxRs6lZiR-mHxBYEKBS_wg""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
"I dream of you, to wake",reveriepi,harryromper,Draco Malfoy/Harry Potter,"<a href=""https://archiveofourown.org/works/47813149""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/47813149""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
I Found Love Where It Wasn't Supposed To Be,The Dramione Archives,dittanyanddreams,Hermione Granger/Draco Malfoy,"<a href=""https://open.spotify.com/episode/6Ji23crj3Kto99laWhz9or?si=dc7a95ade67a4eb1""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>","<a href=""https://open.spotify.com/episode/6Ji23crj3Kto99laWhz9or?si=dc7a95ade67a4eb1""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
I found you,peaceinpanem,de_sire,Sirius Black/Remus Lupin,"<a href=""https://archiveofourown.org/works/50000437""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/50000437""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
I Wanna Learn a Love Song,ETL_Echo_Audiobooks,HeyJude19 ,Pansy Parkinson/Ron Weasley,"<a href=""https://archiveofourown.org/works/41115744""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/41115744""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
"I, Ferret",reveriepi,curiouslyfic,Draco Malfoy/Harry Potter,"<a href=""https://archiveofourown.org/works/49882315""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/49882315""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
I'm Here,micha_making_podfics,Ladderofyears,Draco Malfoy/Harry Potter,"<a href=""https://archiveofourown.org/works/47034919""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/47034919""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
I'm Never Lonely When I'm With You,EllaMcSmellBella,PacificRimbaud,Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/43666665""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/43666665""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Ice,EllaMcSmellBella,senlinyu,Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/43630275""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/43630275""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Ice,Flowerparrish,senlinyu,Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/42431484""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/42431484""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
If you kiss me will it be just like I dreamed it?,peaceinpanem,peaceinpanem,"Sirius Black/Remus Lupin, Regulus Black/James Potter","<a href=""https://archiveofourown.org/works/48639637""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/48639637""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Illumination,EllaMcSmellBella,In_Dreams,Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/41780844""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/41780844""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Imaging Us,digthewriter,wildfried0815,Draco Malfoy/Harry Potter,"<a href=""https://archiveofourown.org/works/52688047""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/52688047""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Impress Upon,EllaMcSmellBella,senlinyu,Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/43630311""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/43630311""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
In Love,Draco Malfoy Podfics,fallingforfictionalcharacterss,Hermione Granger/Draco Malfoy,"<a href=""https://open.spotify.com/episode/7i2uCHjB12MwM6YHlo8MSx?si=SQf-znWrTJK6kycNK1acKQ""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>","<a href=""https://open.spotify.com/episode/7i2uCHjB12MwM6YHlo8MSx?si=SQf-znWrTJK6kycNK1acKQ""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
In Need of a Proper Hug,Heartless Podfics,FaithWood,Draco Malfoy/Harry Potter,"<a href=""https://open.spotify.com/episode/2iYI32xqSeeyzEidRd9XeC?si=6ccb2f0c7f9944de""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>","<a href=""https://open.spotify.com/episode/2iYI32xqSeeyzEidRd9XeC?si=6ccb2f0c7f9944de""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
In-Dentured Love,ETL_Echo_Audiobooks,forgotten_traveler,Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/41115777""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/41115777""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Indulgence,ETL_Echo_Audiobooks,Inadaze22,Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/38194819""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/38194819""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
ink and paper prayers,Podfics by Juuls (Juulna),kitsunerei88,Cho Chang/Cedric Diggory,"<a href=""https://archiveofourown.org/works/37919866""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/37919866""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Inside These Walls,Albuss,Jackvbriefs,Draco Malfoy/Harry Potter,"<a href=""https://archiveofourown.org/works/44820670""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/44820670""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Insomnia,ETL_Echo_Audiobooks,"elithien, senlinyu",Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/41138817""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/41138817""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Into The Unknown,froggyfun365,Kastaka,Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/222036""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/222036""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Intrinsic Charm,ETL_Echo_Audiobooks,Arsenic,Luna Lovegood/Severus Snape,"<a href=""https://archiveofourown.org/works/50985100""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/50985100""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Iris,The Dramione Archives,AurorNyx,Hermione Granger/Draco Malfoy/Theodore Nott,"<a href=""https://open.spotify.com/episode/2cZwII03NeWjdz1Sr3VLKy?si=e0b441ed7a484d80""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>","<a href=""https://open.spotify.com/episode/2cZwII03NeWjdz1Sr3VLKy?si=e0b441ed7a484d80""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
Is This Ok?,inmyownlittle_podfic_corner,xxDustNight88,Narcissa Black Malfoy/Lily Evans Potter,"<a href=""https://archiveofourown.org/works/44493262""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/44493262""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
It's a Keeper,Flowerparrish Pods (Flowerparrish),sophh,Katie Bell/Alicia Spinnet,"<a href=""https://archiveofourown.org/works/43688257""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/43688257""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
"It's a Sweet Thing, Sweet Thing",micha_making_podfics,MacksDramaticShenanigans,Sirius Black/Remus Lupin,"<a href=""https://open.spotify.com/episode/7uj3koMuuT3bruPHQBg8tO?si=c3d00cb90ee5466a""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>","<a href=""https://open.spotify.com/episode/7uj3koMuuT3bruPHQBg8tO?si=c3d00cb90ee5466a""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
It's Always Been You,SilverMiss Fanfiction,colubrina,Hermione Granger/Harry Potter,"<a href=""https://open.spotify.com/episode/0y0AinNAuhN68us8JsyJ8n?si=516faf2eba9a4ca9""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>","<a href=""https://open.spotify.com/episode/0y0AinNAuhN68us8JsyJ8n?si=516faf2eba9a4ca9""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
"It's Called Fashion, Potter",ETL_Echo_Audiobooks,peachpety,Draco Malfoy/Harry Potter,"<a href=""https://archiveofourown.org/works/41935656""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/41935656""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Just Like That,ETL_Echo_Audiobooks,Plume,Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/38194999""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/38194999""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Just Sex,picascribit,picascribit,Sirius Black/Remus Lupin,"<a href=""https://archiveofourown.org/works/935283""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/935283""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Kaleidoscope,ETL_Echo_Audiobooks,HeyJude19,Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/43757124""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/43757124""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Keep It Like a Secret,meems_toandend,PacificRimbaud,Hermione Granger/Draco Malfoy,"<a href=""https://open.spotify.com/episode/0ZWDc0pDHnaDHukspkclwZ?si=0bbea74df9f54013""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>","<a href=""https://open.spotify.com/episode/0ZWDc0pDHnaDHukspkclwZ?si=0bbea74df9f54013""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
Keep Your Eyes on Me,ETL_Echo_Audiobooks,ahhhnorealnamesallowed,Draco Malfoy/Harry Potter,"<a href=""https://archiveofourown.org/works/45519463""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/45519463""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
"Kiss Me, Haunt Me, Kill Me",EllaMcSmellBella,LovesBitca8,Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/41703702""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/41703702""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
"Kiss Me, I'm Desperate",The Dramione Archives,Sparkly_Bee,Hermione Granger/Draco Malfoy,"<a href=""https://open.spotify.com/episode/5Ku08IXXXY5PBl9DvT3lBg?si=2187e5297bf54cca""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>","<a href=""https://open.spotify.com/episode/5Ku08IXXXY5PBl9DvT3lBg?si=2187e5297bf54cca""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
