Title,Podcaster,Author,Ship,Link,Link
A Purrfect Proxy,ETL_Echo_Audiobooks,mightbewriting,Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/43758636""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/43758636""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
"A Safe, Devoted Darkness",EllaMcSmellBella,HeyJude19,Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/42352986/chapters/106354143""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/42352986/chapters/106354143""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
A Slow Cruel Descent,EllaMcSmellBella,SenLinYu,Hermione Granger/Draco Malfoy,"<a href=""https://open.spotify.com/episode/2cDUQNa1hYjxiPHCRtZaPu?si=c222cc153fb34d9a""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>","<a href=""https://open.spotify.com/episode/2cDUQNa1hYjxiPHCRtZaPu?si=c222cc153fb34d9a""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
A Small Present,EllaMcSmellBella,Musyc,Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/43341282""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/43341282""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
A Stake of Holly Through His Heart,ETL_Echo_Audiobooks,LovesBitca8,Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/41137725""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/41137725""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
A Stranger Walk Into A Bar,BurningAurora,weightyghosts,Sirius Black/Remus Lupin,"<a href=""https://open.spotify.com/episode/5Za1kJmYHVQdglfBXHSsmY?si=349a2a864296496f""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>","<a href=""https://open.spotify.com/episode/5Za1kJmYHVQdglfBXHSsmY?si=349a2a864296496f""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
A Tale of Two Tents,ETL_Echo_Audiobooks,who_la_hoop,Draco Malfoy/Harry Potter,"<a href=""https://archiveofourown.org/works/44268982""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/44268982""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
A Wish Come True,inmyownlittle_podfic_corner,KasmiAnn,Draco Malfoy/Fred Weasley,"<a href=""https://archiveofourown.org/works/44792023""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/44792023""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
A Witch’s Wedding,ETL_Echo_Audiobooks,"elithien, senlinyu",Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/41138394/chapters/103120368""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/41138394/chapters/103120368""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
A Woman of Independent Means,meems_toandend,PacificRimbaud,Hermione Granger/Draco Malfoy,"<a href=""https://open.spotify.com/episode/1HAira7I9KYJtnWeusZY1b?si=f288a4679adf41ee""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>","<a href=""https://open.spotify.com/episode/1HAira7I9KYJtnWeusZY1b?si=f288a4679adf41ee""><img src=""./imgs/spotify.png"" alt=""spotify"" class=""link_icon""></a>"
Accidentally on Purpose,peaceinpanem,aibidil,Scorpius Malfoy/Albus Severus Potter,"<a href=""https://archiveofourown.org/works/49260658""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/49260658""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Adeste Fideles,ETL_Echo_Audiobooks,Mad_Maudlin,Draco Malfoy/Ron Weasley,"<a href=""https://archiveofourown.org/works/52416835""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/52416835""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
After,DontStopHerPodfics,DontStopHerNow,Sirius Black/Remus Lupin/Lily Evans Potter,"<a href=""https://archiveofourown.org/works/48820309""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/48820309""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
Aftermath,JocundaSykes,Avioleta,Harry Potter/Severus Snape,"<a href=""https://archiveofourown.org/works/31350713""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/31350713""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
against a sure winter,ETL_Echo_Audiobooks,skitter,Hermione Granger/Draco Malfoy,"<a href=""https://archiveofourown.org/works/43757223""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>","<a href=""https://archiveofourown.org/works/43757223""><img src=""./imgs/archive_of_our_own.png"" alt=""archive_of_our_own"" class=""link_icon""></a>"
